iter,cfi,t_s
1,2.801176293368833,9.049619375291038e-07
2,3.291596797657832,9.019769054393228e-07
3,4.094330858884362,1.5976960980315956e-06
4,7.347328221292413,2.5448951710991265e-06
5,8.094294797880648,1.8540464802111297e-06
6,8.138502971391036,1.8540464802111297e-06
7,8.175619553666081,1.8540464802111297e-06
8,8.203432603378214,1.8540464802111297e-06
9,8.23835134240202,1.8478430501710018e-06
10,8.238941433603935,2.2996989991218737e-06
11,8.30337473618506,2.2996989991218737e-06
12,8.315474934372327,2.2996989991218737e-06
13,8.32303811325863,2.294401669057683e-06
14,8.326086475868745,2.294401669057683e-06
15,8.339702163164391,2.294401669057683e-06
16,8.342673942411619,2.294401669057683e-06
17,8.34777610839001,2.294401669057683e-06
18,8.348347598732964,2.2896266334215446e-06
19,8.34834759873297,2.2896266334215446e-06
20,8.348564021494093,2.2896266334215446e-06
21,8.350209921049618,2.2896266334215446e-06
22,8.368918393524723,2.2838253789470802e-06
23,8.368918393524726,2.2838253789470802e-06
24,8.405510009257366,2.2838253789470802e-06
25,8.407494892055126,2.2838253789470802e-06
26,8.419935822419522,2.2838253789470802e-06
27,8.42044527366477,2.2802411553817998e-06
28,8.421409730144877,2.2802411553817998e-06
29,8.440969425181665,2.2802411553817998e-06
30,8.443799346356908,2.2802411553817998e-06
31,8.452088423521744,2.2802411553817998e-06
32,8.455087533347076,2.2802411553817998e-06
33,8.455591259969784,2.2795371528403287e-06
34,8.455591259969829,2.2795371528403287e-06
35,8.46375688008041,2.2795371528403287e-06
36,8.463910109408367,2.2789388825919156e-06
37,8.46391010940842,2.2789388825919156e-06
38,8.469932591426995,2.2789388825919156e-06
39,8.473739160802346,2.2771767881287715e-06
40,8.473739160802404,2.2771767881287715e-06
41,8.474044981897574,2.2771767881287715e-06
42,8.47404498189758,2.2771767881287715e-06
43,8.474044981897581,2.2771767881287715e-06
44,8.477263640259213,2.2771767881287715e-06
45,8.477305412511003,2.277003887668246e-06
46,8.477305412511011,2.277003887668246e-06
47,8.48091412963441,2.277003887668246e-06
48,8.48094117258535,2.2768700343998085e-06
49,8.480941172585366,2.2768700343998085e-06
50,8.481500784393972,2.2768700343998085e-06
51,8.48150402148365,2.2767861280161593e-06
52,8.481504021483653,2.2767861280161593e-06
53,8.483429847185619,2.2767861280161593e-06
54,8.491028821134451,2.2718984304965763e-06
55,8.491028821134453,2.2718984304965763e-06
56,8.499603607466756,2.2718984304965763e-06
57,8.505565136902996,2.2718984304965763e-06
58,8.505833840598413,2.2718984304965763e-06
59,8.511608919885777,2.2718984304965763e-06
60,8.513552683611106,2.2707254977138923e-06
61,8.513552683611138,2.2707254977138923e-06
62,8.521713964607695,2.2707254977138923e-06
63,8.522009755704211,2.270152339825011e-06
64,8.522009755704262,2.270152339825011e-06
65,8.52308889015137,2.270152339825011e-06
66,8.52320278298124,2.270152339825011e-06
67,8.526279176471657,2.268563348294908e-06
68,8.5262791764717,2.268563348294908e-06
69,8.526952979322045,2.268563348294908e-06
70,8.52695297932205,2.268563348294908e-06
71,8.526974130630924,2.268563348294908e-06
72,8.528263003380083,2.268563348294908e-06
73,8.52901396169781,2.2678356916292994e-06
74,8.529013961697824,2.2678356916292994e-06
75,8.529013961697826,2.2678356916292994e-06
76,8.53240383027711,2.2678356916292994e-06
77,8.532403830277117,2.2678356916292994e-06
78,8.533633316214745,2.2678356916292994e-06
79,8.534482293944608,2.2678356916292994e-06
80,8.534482293944611,2.2678356916292994e-06
81,8.536198518793086,2.2678356916292994e-06
82,8.536411115052136,2.2678356916292994e-06
83,8.53659086825204,2.267020124678536e-06
84,8.536590868252093,2.267020124678536e-06
85,8.538630653124773,2.267020124678536e-06
86,8.538698477782443,2.266805478025284e-06
87,8.541819175196249,2.266805478025284e-06
88,8.541819175196258,2.266805478025284e-06
89,8.541985018856458,2.266805478025284e-06
90,8.54241392748212,2.266805478025284e-06
91,8.54241392748213,2.266805478025284e-06
92,8.54582548863383,2.266805478025284e-06
93,8.545825488633838,2.266805478025284e-06
94,8.546332855916273,2.266805478025284e-06
95,8.546615100910307,2.266805478025284e-06
96,8.54661510091031,2.266805478025284e-06
97,8.552908555241315,2.266805478025284e-06
