iter,cfi,t_s
81,10.613980466609577,1.4143181173534685e-06
82,10.641769914621097,1.4143181173534685e-06
83,10.642933182302686,1.4135580622627194e-06
84,10.64293318230272,1.4135580622627194e-06
85,10.644521399930213,1.4135580622627194e-06
86,10.64452139993022,1.4135580622627194e-06
87,10.782339744028969,1.4135580622627194e-06
88,10.813363382886353,1.4083634401850058e-06
89,10.81336338288637,1.4083634401850058e-06
90,10.81727137030822,1.4083634401850058e-06
91,10.817271370308221,1.4083634401850058e-06
92,10.817271370308223,1.4083634401850058e-06
93,10.817709549726153,1.4083634401850058e-06
94,10.850548821499345,1.4102672002093187e-06
95,10.889555900016651,1.4102672002093187e-06
96,10.889555900016656,1.4102672002093187e-06
97,10.889555900016662,1.4102672002093187e-06
98,10.918667341338345,1.4102672002093187e-06
99,10.933075377873966,1.4079633081939636e-06
100,10.93623173056099,1.4079633081939636e-06
101,10.951165423389455,1.4079633081939636e-06
102,10.954870891565612,1.4079633081939636e-06
103,10.954870891565614,1.4079633081939636e-06
104,11.006713200047596,1.4079633081939636e-06
105,11.206827334903576,1.4000641743728478e-06
106,11.238157753840412,1.4000641743728478e-06
107,11.239337274493653,1.4000641743728478e-06
108,11.290950823845854,1.4000641743728478e-06
109,11.305446582128882,1.4000641743728478e-06
110,11.365021432633178,1.4000641743728478e-06
111,11.442784070724276,1.3947748337145482e-06
112,11.451220551670751,1.3947748337145482e-06
113,11.451220551670755,1.3947748337145482e-06
114,11.460068251744902,1.3947748337145482e-06
115,11.483788553472074,1.3947748337145482e-06
116,11.79469046181146,1.3595892260622588e-06
117,11.794690461811461,1.3595892260622588e-06
118,11.829194403345848,1.3595892260622588e-06
119,11.842391491906255,1.3595892260622588e-06
120,11.851941849675713,1.3577361725332344e-06
121,11.851941849675729,1.3577361725332344e-06
122,11.85223332397494,1.3577361725332344e-06
123,11.852233323974957,1.3577361725332344e-06
124,11.852293196933598,1.3577361725332344e-06
125,11.852950411740029,1.3577361725332344e-06
126,11.853021378458763,1.3577361725332344e-06
127,11.854655639436992,1.3577361725332344e-06
128,11.854655639436995,1.3577361725332344e-06
129,11.854717707959761,1.3577361725332344e-06
130,11.85471770795977,1.3577361725332344e-06
131,11.854727152104594,1.3577361725332344e-06
132,11.857675384636806,1.3577361725332344e-06
133,11.857729124921146,1.3577361725332344e-06
134,11.857740123003037,1.3577361725332344e-06
135,11.85774012300304,1.3577361725332344e-06
136,11.860216228946488,1.3577361725332344e-06
137,11.860624002871567,1.3577361725332344e-06
138,11.860624002871582,1.3577361725332344e-06
139,11.868733129719438,1.3577361725332344e-06
140,11.86978364869437,1.3570207394954502e-06
141,11.869783648694398,1.3570207394954502e-06
142,11.870046900619077,1.3570207394954502e-06
143,11.87168890442949,1.3570207394954502e-06
144,11.871695775486081,1.3569797304466121e-06
145,11.873807953052165,1.3569797304466121e-06
146,11.877248713302297,1.3569797304466121e-06
147,11.877653704356252,1.3566276612606417e-06
148,11.87765370435628,1.3566276612606417e-06
149,11.877653704356284,1.3566276612606417e-06
150,11.877773389663542,1.3566276612606417e-06
151,11.880157326245389,1.3566276612606417e-06
152,11.880178869154914,1.3566276612606417e-06
153,11.880178869154925,1.3566276612606417e-06
154,11.88122488179094,1.3566276612606417e-06
155,11.881224881790946,1.3566276612606417e-06
156,11.88153468270341,1.3566276612606417e-06
157,11.885973266361331,1.3556308100532754e-06
158,11.88781942568351,1.3556308100532754e-06
159,11.887947207101044,1.3554217161253075e-06
160,11.888986828032571,1.3554217161253075e-06
161,11.889013755076824,1.3552915292689563e-06
162,11.889013755076832,1.3552915292689563e-06
163,11.889013755076842,1.3552915292689563e-06
164,11.88902673061609,1.3552915292689563e-06
165,11.889026730616099,1.3552915292689563e-06
166,11.889181522570619,1.3552915292689563e-06
167,11.889447138628991,1.3550339390117688e-06
168,11.889447138629007,1.3550339390117688e-06
169,11.88944713862901,1.3550339390117688e-06
170,11.88989478148239,1.3550339390117688e-06
171,11.88989574017696,1.3550148911572513e-06
172,11.889895740176968,1.3550148911572513e-06
173,11.889895740176978,1.3550148911572513e-06
174,11.890082439044665,1.3550148911572513e-06
175,11.890082439044672,1.3550148911572513e-06
176,11.890088972477479,1.3550148911572513e-06
177,11.890088972477491,1.3550148911572513e-06
178,11.890152172003562,1.3550148911572513e-06
179,11.8901788210405,1.3548846692279818e-06
